Mythos,Type,Subtype,Gate location,Clue Location,White,Black,Mythos Ability,Pass,Fail
A Strange Plague,Environment,Mystic,Independence Square,The Unnamable,"Diamond, Square",Circle,Investigators cannot gain Stamina except by receiving medical care in St. Mary's Hospital (or from Vincent Lee).,,
Alien Technology,Environment,Urban,Unvisited Isle,Science Building,"Diamond, Square",Circle,"Mi-Go have their toughness increased by 2. If an investigator passes a Combat check against a Mi-Go, he draws 1 extra Unique Item.",,
All Quiet in Arkham!,Headline,,Woods,Historical Society,Hexagon,"Diagonal, Triangle, Star",Each player may pass a Luck (-1) check to be Blessed.,,
An Evil Fog,Environment,Weather,Graveyard,Unvisited Isle,Plus,Crescent,Will checks in Arkham are made at a -1 penalty. Sneak checks in Arkham are made at a +1 bonus. Fliers do not move.,,
Big Storm Sweeps Arkham!,Headline,,Independence Square,The Unnamable,Crescent,Plus,All monsters in the Sky and Outskirts are returned to the cup.,,
Bizarre Dreams Plague Citizens!,Headline,,Science Building,The Witch House,Hexagon,"Diagonal, Triangle, Star","All Gugs and Nightgaunts in Arkham are returned to the cup. If at least one monster returns to the cup, raise the terror level by 1.",,
Blackest Night,Environment,Mystic,Black Cave,Hibb's Roadhouse,"Diamond, Square",Circle,Luck checks in Arkham are made at a -1 penalty. Sneak checks in Arkham are made at a +1 bonus.,,
Blood Magic,Environment,Mystic,Independence Square,The Unnamable,"Diamond, Square",Circle,"Investigators who end their movement in Rivertown streets may choose to delve into dark mysteries using their life force. They roll dice equal to their current Stamina, and for every failed die, they lose 1 Stamina. If this reduces them to 0 Stamina, they are devoured and the player must start a new character. Otherwise, they gain 3 Clue tokens.",,
Blue Flu!,Headline,,The Unnamable,Woods,Hexagon,"Diagonal, Triangle, Star",All investigators in jail are released. No investigators may be arrested until the end of next turn. Leave this card in play until then to indicate this.,,
Campus Security Increased!,Headline,,Independence Square,The Unnamable,Circle,"Diamond, Square",All monsters in the Miskatonic U. Streets or Locations are returned to the cup.,,
Church Group Reclaims Southside!,Headline,,Black Cave,Hibb's Roadhouse,Hexagon,"Diagonal, Triangle, Star",All monsters in the Southside streets or locations are returned to the cup.,,
City Gripped by Blackouts!,Headline,,Unvisited Isle,Science Building,Hexagon,"Diagonal, Triangle, Star","The General Store, Curiositie Shoppe, and Ye Olde Magick Shoppe are closed until the end of next turn. Leave this card in play until then to indicate this.",,
Curfew Enforced,Environment,Urban,Unvisited Isle,Science Building,Plus,Crescent,Any investigator who ends his movement in the streets must pass a Will (+0) check or be arrested and taken to the Police Station.,,
Darke's Carnival Arrives,Environment,Urban,The Unnamable,Woods,"Diamond, Square",Circle,"Investigators who end their movement in the Northside streets gain 1 Clue token from the sinister wonders they witness, but must pass a Will (-1) check or lose 1 Sanity.",,
Disturbing the Dead,Rumor,,Black Cave,,"Diagonal, Triangle, Star",Hexagon,"Ongoing Effect: Roll a die at the end of every Mythos Phase while this card is in play (beginning the turn after it entered play). On a 1 or 2, increase the terror level by 1.","If a single player discards 2 gate trophies during the Arkham Encounter Phase while in the Rivertown streets, return this card to the box. Each player draws 1 Spell.","If the terror level reaches 10, return this card to the box. Every investigator is Cursed."
Dreams of a Sunken City,Environment,Mystic,Independence Square,The Unnamable,Plus,Crescent,Investigators cannot gain Sanity except by receiving psychiatric care at Arkham Asylum (or from Carolyn Fern).,,
Egyptian Exhibit Visits Miskatonic U.,Environment,Urban,The Witch House,Black Cave,Plus,Crescent,Any investigator who ends his movement in the Miskatonic U. streets may pass a Lore (-1) check to gain 1 Clue token by reading the strange hieroglyphics on the artifacts in the exhibit.,,
Estate Sale,Environment,Urban,The Witch House,Black Cave,"Diamond, Square",Circle,"Investigators who end their movement in the Uptown streets may draw 2 Unique Items and purchase one, none, or both of them at list price, discarding any that are not purchased",,
Family Found Butchered!,Headline,,Graveyard,Unvisited Isle,Crescent,Plus,The terror level increases by 1 in light of this tragic news.,,
Feds Raid Arkham!,Headline,,Black Cave,Hibb's Roadhouse,Crescent,Plus,All monsters in the streets are returned to the cup.,,
Fourth of July Parade!,Headline,,The Witch House,Black Cave,Crescent,Plus,Investigators cannot move into or out of the Merchant Dist. streets until the end of next turn. Leave this card in play until then to indicate this,,
Gangs Clean Up Easttown!,Headline,,The Witch House,Black Cave,Circle,"Diamond, Square",All monsters in the Easttown streets or locations are returned to the cup.,,
Ghost Ship Docks by Itself!,Headline,,The Unnamable,Woods,Crescent,Plus,"An ancient ghost ship arrives in Arkham, releasing 2 monsters into the Merchant Dist. streets",,
Goat-like Creature Spotted in Woods!,Headline,,Independence Square,The Unnamable,Hexagon,"Diagonal, Triangle, Star","All Dark Young in Arkham are returned to the cup. If at least one monster returns to the cup, raise the terror level by 1.",,
Good Work Undone,Rumor,,Unvisited Isle,,"Diagonal, Triangle, Star",Hexagon,"When this card enters play, place 6 Clue tokens on it. Any player may spend Clue tokens during the Arkham Encounter Phase while in the Easttown streets to discard Clue tokens from this card on a 1-for-1 basis.","If there are no Clue tokens on this card, return it to the box. Each player draws one unique item","If there are 10 Clue tokens on this card, return it to the box. All elder sign tokens are removed from the board."
Happy Days are Here Again,Environment,Urban,Woods,Historical Society,"Diamond, Square, Triangle",Circle,"Due to the renewed prosperity that has come to Arkham, the terror level cannot increase",,
Heat Wave,Environment,Weather,Woods,Woods,"Diamond, Square",Circle,Fight checks in Arkham are made at a -1 penalty. Lore checks in Arkham are made at a +1 bonus. Fire Vampires have their toughness increased by 1,,
Horror at Groundbreaking!,Headline,,Historical Society,Silver Twilight Lodge,Crescent,Plus,"An ancient stone is disturbed by the construction, releasing 2 monsters into the Miskatonic U. streets",,
Icy Conditions,Environment,Weather,Historical Society,Silver Twilight Lodge,Plus,Crescent,Investigators receive 1 less movement point during the Movement Phase. Fast Monsters move like normal monsters,,
Ill Wind Grips Arkham!,Headline,,Graveyard,Unvisited Isle,Hexagon,"Diagonal, Triangle, Star",The first player must pass a Luck (-1) check or be Cursed,,
Lodge Member Held for Questioning!,Headline,,Black Cave,Hibb's Roadhouse,Circle,"Diamond, Square",A Silver Lodge ritual lets 2 monsters loose in the French Hill streets.,,
Lodge Members Watch the Night!,Headline,,Unvisited Isle,Science Building,Circle,"Diamond, Square",All monsters in the French Hill streets or locations are returned to the cup.,,
Manhunt in Arkham!,Headline,,Woods,Independence Square,"Diagonal, Triangle, Star",Hexagon,All monsters in locations are returned to the cup.,,
Merchants March on Crime!,Headline,,Independence Square,The Unnamable,Circle,"Diamond, Square",All monsters in the Merchant Dist. streets or locations are returned to the cup.,,
Miskatonic Arctic Expedition Returns!,Headline,,Hibb's Roadhouse,Independence Square,Crescent,Plus,Any Elder Things previously claimed as monster trophies by players return to life and are placed in the River Docks.,,
Missing People Return!,Headline,,The Unnamable,Woods,"Diagonal, Triangle, Star",Hexagon,"All investigators currently lost in time and space immediately return to Arkham, appearing in a street or location of their choice.",,
No One Can Help You Now,Environment,Mystic,The Unnamable,Woods,Plus,Crescent,"Gates cannot be sealed, although they can still be closed",,
Noden's Favor,Environment,Mystic,The Witch House,Black Cave,"Diagonal, Triangle, Star",Hexagon,It costs 2 fewer Clue tokens to seal gates,,
Picnickers Panic!,Headline,,Unvisited Isle,Science Building,Crescent,Plus,A careless picnicker unleashes 2 monsters on the Downtown streets,,
Planetary Alignment,Environment,Mystic,The Witch House,Black Cave,"Diamond, Square",Circle,"Thanks to the mystic energy generated by the planetary alignment, all Spells have a Sanity cost of 0.",,
Police Step Up Patrols in Northside!,Headline,,Silver Twilight Lodge,Graveyard,Circle,"Diamond, Square",All monsters in the Northside streets or locations are returned to the cup.,,
Private Security Hired in Uptown!,Headline,,Woods,Historical Society,Circle,"Diamond, Square",All monsters in the Uptown streets or locations are returned to the cup,,
Raining Cats and Dogs,Environment,Weather,Hibb's Roadhouse,Historical Society,"Diagonal, Triangle, Star",Hexagon,Star Spawn and Maniacs have their toughness increased by 1. The difficulty to seal or close gates to R'lyeh is increased by 1.,,
Rivertown Residents Take Back Streets!,Headline,,The Witch House,Independence Square,Plus,Crescent,"Speed checks in Arkham are made at a -1 penalty, and players receive one less movement point during theMovement Phase. Sneak checks in Arkham are made at a +1 bonus. Return any Fire Vampires in play to the cup. If a Fire Vampire enters play, return it to the cup and draw a different monster.",,
R'lyeh Rising,Environment,Mystic,Woods,Black Cave,Circle,"Diamond, Square",All monsters in the Rivertown streets or locations are returned to the cup.,,
Scientist Warns of Dimensional Rift!,Headline,,Unvisited Isle,Science Building,Hexagon,"Diagonal, Triangle, Star","All Dimensional Shamblers and Hounds of Tindalos are returned to the cup. If one or more monster is returned to the cup, raise the terror level by 1.",,
Sheldon Gang Turns to Police for Aid!,Headline,,Graveyard,Unvisited Isle,Circle,"Diamond, Square",,"The Sheldon Gang disturbs a burial mound, releasing 2 monsters into the Uptown Streets.",
Slum Murders Continue!,Headline,,Woods,Historical Society,Crescent,Plus,"An old basement is opened, releasing 2 monsters into the Easttown Streets",,
Solar Eclipse,Environment,Mystic,Graveyard,Unvisited Isle,"Diamond, Square",Circle,"Due to the interference of the solar eclipse, no spells may be cast",,
Southside Strangler Suspected!,Headline,,Woods,Historical Society,Circle,"Diamond, Square","However, the press is mistaken, and the murders were caused by 2 monsters that are released into the Southside streets.",,
Strange Lights on Campus!,Headline,,Woods,Historical Society,Hexagon,"Diagonal, Triangle, Star","The Library, Administration Building and Science Building are all closed until the end of next turn. Leave this card in play until then to indicate this",,
Strange Power Flux Plagues City!,Headline,,Independence Square,The Unnamable,"Diagonal, Triangle, Star",Hexagon,All investigators in Other World areas may immediately return to Arkham,,
Strange Tremors Cease!,Headline,,Independence Square,The Unnamable,Hexagon,"Diagonal, Triangle, Star","All Chthonians and Dholes in Arkham are returned to the cup. If at least one monster returns to the cup, raise theterror level by 1.",,
Sunny and Clear,Environment,Weather,Black Cave,Hibb's Roadhouse,Plus,Crescent,Sneak checks in Arkham are made at a -1 penalty.,,
Temperence Fever Sweeps City,Headline,,The Witch House,Black Cave,Hexagon,"Diagonal, Triangle, Star","Any investigator with Whiskey must pass a Sneak (-1) check or get arrested and taken to the Police Station. If this occurs, they must discard their Whiskey. In addition, Hibb's Roadhouse is closed until the end of next turn. Leave this card in play until then to indicate this",,
Terror at the Train Station!,Headline,,The Witch House,Black Cave,Crescent,Plus,"A rusty train arrives in Arkham, disgorging 2 monsters into the Northside streets",,
The Chill of the Grave,Environment,Mystic,Unvisited Isle,Science Building,Plus,Crescent,All Undead monsters have their toughness increased by 1,,
The Festival,Environment,Urban,Woods,Woods,Plus,Crescent,The festival has begun! Cultists and Byakhees have their toughness increased by 1.,,
The Great Ritual,Rumor,,Graveyard,,"Diagonal, Triangle, Star",Hexagon,"Ongoing Effect: Cultists, Witches, Warlocks, and High Priests have their toughness increased by 2 while this card is in play. Place 1 clue token on this card at the end of every Mythos Phase (beginning the turn after it entered play)","If a single player discards 3 spells (4 if there are 5 or more players) while in the French Hill streets during the Arkham Encounters phase, return this card to the box. Each player gains 2 clue tokens.","If there are ever 5 Clue tokens on this card, return it to the box. From now on, draw 2 Mythos cards each Mythos Phase. Ignore everything on the first card except for the gate opening."
The Man in Black,Environment,Mystic,The Witch House,Black Cave,Plus,Crescent,"Investigators who end their movement in the French Hill streets may deal with the Man in Black to gain power. They roll dice equal to their current Sanity and for every failed die, the lose 1 Sanity. If this reduces them to 0 Sanity, they are devouredand the player must start a new character. Otherwise, they gain 1 Clue token and draw 1 Spell.",,
The Southside Strangler Strikes,Rumor,,Independence Square,,"Diagonal, Triangle, Star",Hexagon,Ongoing Effect: Return one Ally from the Ally deck to the box at random at the end of every Mythos Phase while this card is in play (beginning the turn after it entered play). The Southside Strangler has struck again!,"If a single player discards 5 Clue tokens while in Ma's Boarding House during the Arkham Encounters Phase, return this card to the box. Each player receives a $5 reward from the police","If there are no more Allies to return to the box at the end of the Mythos Phase, return this card to the box. Each player must lower either their maximum Sanity or Stamina (their choice) by 1 for the rest of the game"
The Stars Are Right,Rumor,,Science Building,,"Diagonal, Triangle, Star",Hexagon,"Ongoing Effect: Roll a die at the end of every Mythos Phase while this card is in play (beginning the turn after it enters play). On a 1 or 2, place one doom token on the ancient one's doom track.","If a player discards an Ally card while in the Downtown streets during the Arkham Encounter Phase, return this card to the box. Each player draws 2 Common Items.","If the Ancient One awakens, return this card to the box"
The Story Continues?,Headline,,,,,,"Shuffle the mythos deck, being sure to include this card in it. After the deck is shuffled, draw a new mythos card for the turn",,
The Terrible Experiment,Rumor,,Unvisited Isle,,"Diagonal, Triangle, Star",Hexagon,"When this card enters play, place 5 monsters from the cup on it. Any player may choose to fight one or more of these monsters while in the Miskatonic U. streets during the Arkham Encounter Phase. If defeated, they are claimed as monster trophies. These monsters do not move, are not considered on the board, and do not count against the monster limit.","If there are no monsters on this card, return it to the box. Each player draws 1 Skill.","If there are 8 monsters on this card, return it to the box. Raise the terror level to 10 and place the monsters that were on it in play in the Miskatonic U. streets"
Things of Darkness,Environment,Mystic,Silver Twilight Lodge,Graveyard,"Diamond, Square",Circle,"Ghouls, Formless Spawns, Shoggoths and Flying Polyps have their toughness increased by 1",,
Vigilante Guards the Night!,Headline,,The Unnamable,Woods,Circle,"Diamond, Square",All monsters in the Downtown streets or locations are returned to the cup,,
Witch Burning Anniversary!,Headline,,Unvisited Isle,Science Building,Crescent,Plus,"An ancient curse strikes Arkham, releasing 2 monsters into the Rivertown streets",,
